repo_url,stars,forks,repo_size_kb,open_issues_count,num_files,num_py_files,num_js_files,num_ts_files,num_html_files,num_css_files,num_json_files,num_sh_files,num_yaml_files,num_test_files,test_file_ratio,num_docs_files,num_notebooks,other_extensions_count,has_dedicated_test_dir,has_license,has_src_dir,has_docs_dir,has_scripts_dir,num_dirs,avg_files_per_dir,avg_py_file_len,avg_test_file_len,avg_nb_cell_count,avg_docs_file_len,num_dependencies,repo_age_days,recent_activity_days,has_pyproject_toml,has_dockerfile,has_github_actions,has_requirements_txt,has_conda_env_file,has_docker_compose,has_precommit_config,has_setup_py,has_tox_ini,has_makefile
https://github.com/AlessandroZ/LaZagne,10741,2121,3407,13,262,251,0,0,0,0,0,0,3,0,0.0,1,0,7,False,True,False,False,False,55,4.68,135.7,0.0,0.0,142.0,6,4062,0,False,False,True,True,False,False,False,False,False,False
https://github.com/Alibaba-NLP/DeepResearch,18578,1436,309493,82,346,174,0,0,0,0,0,15,0,0,0.0,22,0,135,False,True,False,False,False,95,3.6,154.5,0.0,0.0,321.9,495,447,0,False,True,False,True,False,False,False,False,False,False
https://github.com/AntonOsika/gpt-engineer,55230,7313,20474,68,182,65,0,0,1,0,1,2,9,19,0.226,30,0,55,True,True,False,True,True,35,5.06,134.4,143.0,0.0,47.0,20,1068,0,True,True,True,False,False,True,True,False,True,True
https://github.com/ArchiveBox/ArchiveBox,27152,1497,16422,198,421,218,6,1,26,6,3,26,25,58,0.21,23,0,29,False,True,False,True,True,62,6.68,212.0,289.7,0.0,643.3,35,3253,0,True,True,True,False,False,True,True,False,False,False
https://github.com/Arindam200/awesome-ai-apps,9427,1209,409681,51,755,229,1,26,3,0,7,4,15,5,0.021,108,12,345,False,True,False,False,False,199,3.77,170.8,183.4,17.5,141.1,980,409,0,True,True,True,False,False,True,False,False,False,False
https://github.com/Asabeneh/30-Days-Of-Python,60354,11509,30581,106,246,21,0,0,5,1,5,0,1,0,0.0,118,0,95,False,False,False,False,False,57,4.24,179.7,0.0,0.0,451.7,6,2325,0,False,False,False,False,False,False,False,False,False,False
https://github.com/AstrBotDevs/AstrBot,28601,1916,58466,1014,1289,413,18,50,4,5,134,4,39,58,0.123,369,0,195,True,True,False,True,True,219,5.86,246.5,383.3,0.0,57.9,117,1210,0,True,True,True,True,False,True,True,False,False,True
https://github.com/AsyncFuncAI/deepwiki-open,15304,1710,3981,244,124,24,3,32,0,1,18,1,2,5,0.172,13,0,25,True,True,True,False,False,38,3.18,336.6,200.2,0.0,415.1,19,336,0,True,True,True,False,False,True,False,False,False,False
https://github.com/Atarity/deploy-your-own-saas,8859,674,577,1,11,2,0,0,0,0,1,0,2,0,0.0,4,0,2,False,False,False,False,False,3,2.75,122.5,0.0,0.0,171.0,0,2417,0,False,False,True,False,False,False,False,False,False,False
https://github.com/AtsushiSakai/PythonRobotics,29035,7250,303783,32,514,167,0,0,1,1,0,1,13,90,0.35,102,0,139,True,True,False,True,False,203,2.52,199.5,27.1,0.0,107.2,9,3663,0,False,False,True,True,True,False,False,False,False,False
