,has_pyproject_toml,has_dockerfile,has_github_actions,has_tox_ini,has_conda_env_file,has_docker_compose,has_precommit_config,has_setup_py,has_requirements_txt,has_makefile
stars,-0.03849480195824195,-0.007380844574711166,0.02133603146244506,-0.02728027075648184,0.017874700493250722,0.035820822013235436,-0.010409125695085203,-0.08070209785584963,-0.06713567655210369,-0.007244716956098914
forks,-0.03193472570273225,-0.01460077668965947,0.022170125847731124,-0.02124530837567883,0.06861622835700734,0.033411168214948085,-0.026669806822433226,-0.0758295223735175,-0.015753083535151688,-0.045073937137388935
repo_size_kb,0.17414778458877903,0.09647462109633773,0.0987130608276253,-0.029034106680793967,0.08804127227286129,0.1209875850779073,0.12484299011885337,0.04503749755169115,-0.010878624015828287,0.0714635863133868
open_issues_count,0.0703404946332465,-0.014664565434119715,0.0785877454040308,0.05231428201184502,0.15404564485491953,-0.00915795428380001,0.07269972481927635,0.0871137358007177,0.023530943172197425,0.036762549037815034
num_files,0.14871036663174367,0.12674974650398413,0.12700702751214138,0.011037661491575724,0.027496209981021487,0.1276681068419624,0.1346702458765233,0.03746175260538116,-0.04496235554281286,0.0548428982716294
num_py_files,0.19327693730818216,0.15805896440917405,0.14101879463361597,-0.01717298927135977,0.0715718790598104,0.1614524021477059,0.18899509888976954,0.09678387431979885,-0.05403899261719669,0.09171407684768668
num_js_files,-0.012377205970783133,0.04149458880093346,0.04593998851788445,-0.008869435317955875,0.01758202388021021,0.0901372257095739,0.0019213127800014427,0.006771770034863324,-0.0043532408323590155,0.0042023870705340536
num_ts_files,0.10021446931209263,0.13586683898753568,0.07619026054724835,-0.017258767741109737,-0.037474106411384996,0.18048212679584802,0.08354619924249453,-0.05366995089953287,-0.0711893957629703,0.0794795357510464
num_html_files,0.016152174933118862,0.02422523767092806,0.0001625055027597472,0.07803461778185385,-0.011748044603177958,0.013249792401703308,0.006287789774931112,0.04506675575668148,0.0692592858437679,0.030763676087542203
num_css_files,0.041909040265866775,0.0934657148199165,0.02969170690520974,0.03633128268932694,-0.013368873762694125,0.10751343992374261,0.027226699391901997,-0.01587459074231001,0.006847158131542738,-0.02208051647898889
num_json_files,0.04672019399859498,0.05241701814195045,0.06084173183151914,0.036314033491548534,-0.023173756359272175,0.06353288006786105,0.0905494281476804,0.05749839874294317,0.04689908263257931,0.0034155176190335053
num_sh_files,0.0090158161655186,0.0840801736263271,-0.042198866501463456,-0.0504237584642752,0.018759393850629125,0.08338335283791089,0.1045705031590521,0.10953104083829299,0.037004643359890683,0.022344537169489538
num_yaml_files,0.04794100154256533,0.010402874638730427,0.005863152279515684,-0.0026937530887835024,0.007076466389869705,-0.007703286008553609,0.06275015556500575,-0.0026538055906090044,-0.008217435551161684,0.005278295117162303
num_test_files,0.24172602196706167,0.11742213414586096,0.1842449504698495,0.011424241352311527,0.0764947503291404,0.15195484119866423,0.25775363391868167,0.09362098425070592,-0.05434745610958845,0.11122817438006916
test_file_ratio,0.37163363065257105,0.030970967248253902,0.31413374830094043,0.22126536393472468,0.039625622357648396,0.01477443627096554,0.2812060181249026,0.08521183286345402,-0.1357233878842362,0.1787859869705364
num_docs_files,-0.019146922973327256,-0.02146798514522455,0.059411721672857555,0.037400264407268756,0.010029309048187733,-0.0008204851219286678,0.028351373313296468,0.018886922292507106,-0.04206694553308946,0.008027490442446062
num_notebooks,0.059075613672799544,0.007424687698785398,0.04125242027599567,-0.033923594275428674,0.0035238217681524777,0.08123497060998454,0.05294659201771815,-0.012890864725439754,-0.019591817800724547,0.07079152592936892
other_extensions_count,0.08544352890821835,0.08191874168506767,0.06790927643863533,0.0064238331509411375,0.00709026450330554,0.058656237927364185,0.027790866258334122,-0.0076950775866504225,-0.02281822378942756,0.00690436077225071
has_dedicated_test_dir,0.3357245661955671,0.09183774181566587,0.3232878095645913,0.1423104231848612,0.011758838857127541,0.046490826999706594,0.28017816459082634,0.1396459802858191,-0.07321052208220843,0.20670443371737823
has_license,0.14249713481437326,0.11474186521610932,0.17076023998688247,-0.02251932214747048,-0.01042553229071271,0.07719207116061239,0.14393621727906428,0.0744303787738484,0.029581387968441255,0.06257308199293266
has_src_dir,0.1595165102837221,-0.01800050857651187,0.10958078082571876,0.009793114263018873,-0.03695061894972397,0.020328894663256988,0.10703118150800409,-0.03709058425775219,-0.10104299735218591,0.058288495070685314
has_docs_dir,0.2874464567522744,0.14130036458228679,0.3069756289173962,0.11704127008667377,0.037250790276063483,0.06302042599121792,0.27874931561548344,0.17264318830728986,-0.07473393772583006,0.18041319231653397
has_scripts_dir,0.12173872969742446,0.13263573662314265,0.12865608058123246,-0.022151491080614427,0.03714546856916986,0.13840779555189517,0.14216169599246442,0.03842095129491774,-0.03249235192763099,0.09712118985078981
num_dirs,0.09227273906553207,0.08526206250009302,0.08943806136006825,0.004555963429553956,0.004965522292316991,0.11099829344174546,0.10065392226452712,0.014944290516881805,-0.06855264878749283,0.07285873582632986
avg_files_per_dir,-0.047350285402034065,-0.02840133088396613,-0.041292365732587634,0.02520508321584447,-0.011931231551928404,-0.04863296175963579,-0.038485682813676404,0.003707532996028919,0.018884862329567716,0.020015066698733475
avg_py_file_len,-0.027146557941632874,-0.06654491598297976,-0.04209660940118852,0.013924902205610292,0.008508771432390256,-0.03743059399288229,-0.06513167455066918,0.012286669014430214,0.03931964977829031,-0.027092200840169865
avg_test_file_len,0.19664280427447894,0.013277721592069743,0.16650036606428162,0.140503994453544,0.01624723967428795,0.0014377923455203838,0.12600803766190014,0.07135517523149737,-0.11258442223299216,0.09276403459193604
avg_nb_cell_count,0.05834844821212879,-0.011949193975356143,0.04090208420235411,-0.024980314563277983,0.018977126057044366,-0.0052174173811393755,0.08193296248975834,0.004090578643252417,-0.017298615487031977,-0.002235665987336475
avg_docs_file_len,-0.019374283229436115,-0.02424006827258285,-0.06402054438497369,0.0012174947651759514,-0.03755724528252311,-0.040001295882827505,-0.05525746144801353,-0.00994630375803144,0.0033148154397307553,-0.03549817846852345
num_dependencies,0.10788871039344392,0.17761271833032552,0.049516728535945694,-0.05155763879787068,0.017310391638156165,0.17174426514607846,0.09937621894381081,-0.013158936621126828,0.06505115121566458,0.0330508305374525
repo_age_days,0.022528623978189742,-0.12788195594875496,0.15907663885396855,0.36199990294230344,0.07678545045896655,-0.17104564740848202,0.010541643865376156,0.20771868056604265,-0.04751531325193759,0.12268961374548465
recent_activity_days,-0.048129204830312765,-0.024549536251294773,-0.02969825078591819,0.060912344247535236,0.009426926116696294,-0.04056448227877148,-0.024739888972856505,0.09177643129862967,0.00987175610968717,0.027691952508465636
