,stars,forks,repo_size_kb,open_issues_count,num_files,num_py_files,num_js_files,num_ts_files,num_html_files,num_css_files,num_json_files,num_sh_files,num_yaml_files,num_test_files,test_file_ratio,num_docs_files,num_notebooks,other_extensions_count,has_dedicated_test_dir,has_license,has_src_dir,has_docs_dir,has_scripts_dir,num_dirs,avg_files_per_dir,avg_py_file_len,avg_test_file_len,avg_nb_cell_count,avg_docs_file_len,num_dependencies,repo_age_days,recent_activity_days
stars,1.0,0.0,0.03722434191069944,3.2429335739937216e-14,0.12402164227880304,0.00541307529688051,0.30958123758075023,0.2648311545998288,0.6736375495936087,0.43133129722488484,0.3196580589081907,0.3367536561630824,0.5526122980384482,0.09737624976766016,0.27544238129058907,0.19681821503761115,0.34428156455714526,0.6408275846362688,0.07104612859218813,0.32601364891937734,0.1323296756659854,0.11076065043684818,0.0012368778282273694,0.05775182473854968,0.8088430970788419,0.8495139627207527,0.5562877549619611,0.8872262546796607,0.055429349946401654,0.10765308431016399,0.31998627783395295,0.0014048214697606534
forks,0.0,1.0,4.149750368375156e-06,1.4544056940848366e-17,4.2008519782718604e-05,2.361097025740029e-09,0.7935213161866932,0.13112470975636506,0.11617147250977343,0.8436537802354975,0.026989101337974872,0.7150955893229821,0.5157436682115287,5.080278681190956e-07,0.16351761100349246,0.04132790316888767,0.6481977593154109,0.12161274241345885,0.0026821862664924813,0.08558161220110998,0.07010845671136309,0.36868734586692037,0.0012975191543640333,3.7726396990669967e-07,0.4944882711686518,0.7399883421566527,0.5994598411868796,0.48363500283474353,0.08050275279997712,0.06292231014829339,2.919001550414287e-05,0.007082460010342184
repo_size_kb,0.03722434191069944,4.149750368375156e-06,1.0,1.077657028694409e-09,7.896235104242577e-59,5.342920133068994e-61,0.00020418489257297082,7.252854894883811e-29,4.5923286341225755e-05,6.020122034612531e-08,3.056855150772066e-10,0.00011227497960623183,0.03953807074984818,7.775586979006018e-48,0.050610028975778536,1.6080917691469252e-13,2.0136781825375333e-13,3.078296744905211e-19,0.5300046814584222,0.011686511558799548,0.3686463315990879,1.726373192081734e-06,0.00023467353850413573,1.0679072333649296e-32,0.013552890706133596,0.4936314316913299,4.735744066711117e-05,0.26409117755056066,0.0001476058747156429,4.134940514927994e-27,0.27108531606402414,0.10992527851944728
open_issues_count,3.2429335739937216e-14,1.4544056940848366e-17,1.077657028694409e-09,1.0,1.4891508017924588e-09,1.800288178436805e-23,0.5289700919523617,0.03318838272780546,0.3015350853208519,0.908184364060604,0.1481567080511995,0.0010588969516128204,0.11849995313387783,2.3535781062334502e-32,0.0004768130157362318,0.06386651720021087,0.6556857369247694,0.08822573431644233,0.860797469032802,0.011831675677483961,0.28879886584229736,0.009073751869466693,0.0002709924498073434,0.0017474800313252818,0.5377627753455926,0.24029859758346925,0.00015399418810385448,0.7430397677622519,0.5751353273771203,0.0025269341433698475,4.69176172475757e-10,0.10881917311945546
num_files,0.12402164227880304,4.2008519782718604e-05,7.896235104242577e-59,1.4891508017924588e-09,1.0,4.491808203812495e-189,2.6269268928130272e-23,6.502114697913679e-50,1.4439060260722076e-13,5.129586272937079e-13,4.583840667296483e-71,1.1445220610687777e-26,3.170442179993915e-37,7.798013419238499e-101,0.008828053267325272,3.415415042606699e-80,1.4008640957988163e-17,3.06e-322,0.7266484218695705,0.029973503082442645,0.5307563124472645,7.361756695055786e-10,7.518084269884058e-12,2.608467794022959e-290,0.0001491845651140426,0.05429890283601269,0.00022571554737854427,0.7414527155225016,0.05863281285855341,1.5625635573021407e-37,0.03657073276476378,0.02361839579342197
num_py_files,0.00541307529688051,2.361097025740029e-09,5.342920133068994e-61,1.800288178436805e-23,4.491808203812495e-189,1.0,1.9873760142901114e-28,2.0671856252345296e-25,0.001197592769526703,2.5392867713630152e-05,7.976540092140655e-17,2.448585584988288e-39,1.5171205593454988e-06,4.369260415630104e-217,0.07428898317441142,3.351340328923584e-22,1.8715360565020651e-19,3.0356237230564774e-27,0.044318412443087686,0.007198452235265219,0.3607319830149837,6.0606853449918e-08,3.95384892096669e-14,2.055909220389296e-158,0.4435630600791295,0.028977921651430257,2.996365438306505e-05,0.29671680059146316,0.009587830500019046,1.4931583374992414e-46,0.009053694866454604,0.010396923334335603
num_js_files,0.30958123758075023,0.7935213161866932,0.00020418489257297082,0.5289700919523617,2.6269268928130272e-23,1.9873760142901114e-28,1.0,5.923062667408305e-08,7.467977041031931e-07,1.2956810847940937e-25,0.151243030743908,0.10663517603938415,0.8331380762200494,0.07678491711115894,0.7841726716804237,0.02153564316288381,0.9506026589601738,1.2305330227140427e-08,0.2099978146436212,0.2995358352810362,0.12245049247930807,0.3557508771420417,0.054010042623776434,1.555237581021096e-13,0.7182436019725589,0.3047689942124527,0.8808780925763818,0.7591914497131866,0.16242283761164172,0.3879176669524508,0.8677415736788208,0.3739530136121619
num_ts_files,0.2648311545998288,0.13112470975636506,7.252854894883811e-29,0.03318838272780546,6.502114697913679e-50,2.0671856252345296e-25,5.923062667408305e-08,1.0,2.6463587497979766e-05,1.5312584767645355e-10,3.078283604227389e-07,0.5096146804495414,0.6957873990650377,1.3709611456473164e-21,0.018201805814724005,0.1522219858105225,0.08279490511099245,1.9703064848521267e-14,0.23352273019139694,0.0759182677205269,0.503834755538726,0.7967063555185733,7.648472796906963e-07,1.7695198351392793e-31,0.5087661101690094,0.36920837698114484,0.0075485342595398245,0.9905872727931654,0.07670818206191274,0.00015429630859938612,0.014284232720550391,0.2714866724811776
num_html_files,0.6736375495936087,0.11617147250977343,4.5923286341225755e-05,0.3015350853208519,1.4439060260722076e-13,0.001197592769526703,7.467977041031931e-07,2.6463587497979766e-05,1.0,1.4182777619896374e-17,0.0003453381078442711,0.8205535177311452,0.7942719929262811,0.002489595162237404,0.2511820855073067,0.3164288210996929,0.8452028261808082,1.8611795051662997e-08,0.1378072770456411,0.29095625922839297,0.19516705945833415,0.012679908702496748,0.00847126217788213,3.42821683230368e-10,0.6582147700731159,0.7531869383455777,0.07036704945255907,0.7031638476283587,0.5773560383679223,0.47350292815459666,0.009909480442745526,0.6361651559281318
num_css_files,0.43133129722488484,0.8436537802354975,6.020122034612531e-08,0.908184364060604,5.129586272937079e-13,2.5392867713630152e-05,1.2956810847940937e-25,1.5312584767645355e-10,1.4182777619896374e-17,1.0,0.019147072825395236,0.5069278031887802,0.7491053736891955,0.0009157610695215761,0.31438025612325765,0.02066054063099418,0.3345790993575325,1.0814364335105841e-07,0.23958146848480877,0.4677562094719087,0.30494173022693594,0.026884379027418352,0.08891183716257373,4.160732005910014e-10,0.5490239722867949,0.6281090651948167,0.5118197573001587,0.9956004348236215,0.15724858218296905,0.024233674192951343,0.42038651601778126,0.4247901111325434
