,stars,forks,repo_size_kb,open_issues_count,num_files,num_py_files,num_js_files,num_ts_files,num_html_files,num_css_files,num_json_files,num_sh_files,num_yaml_files,num_test_files,test_file_ratio,num_docs_files,num_notebooks,other_extensions_count,has_dedicated_test_dir,has_license,has_src_dir,has_docs_dir,has_scripts_dir,num_dirs,avg_files_per_dir,avg_py_file_len,avg_test_file_len,avg_nb_cell_count,avg_docs_file_len,num_dependencies,repo_age_days,recent_activity_days
stars,1.0,0.870364826921563,0.054232041360489744,0.195765617299046,0.04005328096887183,0.07236243629419337,-0.02646584532022894,0.02904194410956705,0.010971347083256651,-0.020497808069566546,0.02592060950862108,-0.02502068601287977,-0.015469484834193501,0.0431648966558502,-0.028405909057899307,0.033613776761674846,0.02463374580259833,0.012153451564315637,-0.047000875656907935,-0.025582483665791328,-0.039191172206362083,-0.041527833367325365,0.08400223072973224,0.04940365106151332,-0.00630217111017705,-0.0049428562782347805,-0.015326597988195228,-0.003694410439732572,0.0498695816236958,0.041893332384442726,0.025903041011959768,-0.08305432604989879
forks,0.870364826921563,1.0,0.1195021125247799,0.2195179866973805,0.10640575986147995,0.15460904193853542,0.006818537337618974,0.039313556238509344,0.04091028947074296,0.005137803712240329,0.057568638403536807,0.00950896337750328,0.016929882051372285,0.1303027219542277,-0.036285937683673636,0.05311245342508645,0.011885814364406765,0.04031163770788882,-0.07808557422719413,-0.04476395981855699,-0.04715761934378932,-0.023414970100182616,0.08364698728083175,0.13176408980145182,-0.01779633350924363,0.00864536246805298,-0.013680773780252871,-0.01824639792708261,0.045507788457788044,0.0484197290141302,0.10856340872266776,-0.07006768108439186
repo_size_kb,0.054232041360489744,0.1195021125247799,1.0,0.15784837771312496,0.4032844997960379,0.410214832647672,0.09652187890368086,0.2844202959170858,0.10587145634387089,0.1404495905338654,0.16291691908342426,0.10036554914430028,0.053588623515815045,0.36536799186690316,0.05089081861763905,0.19044025684805413,0.1896797092132567,0.2304203919159141,0.01635892335522242,0.06561613813525671,-0.02341697516948194,0.1241218044253184,0.09560732778033791,0.3029133278761634,0.06425094066509308,-0.01783167092675401,0.10568646705299847,0.029086946040597136,-0.09862420008565788,0.27546002599190306,0.028665004147410546,-0.0416252822070777
open_issues_count,0.195765617299046,0.2195179866973805,0.15784837771312496,1.0,0.1565207871370247,0.25574315199956255,0.016400078131645797,0.05544073073804965,0.026909672358491794,0.003004432223585036,0.037658332220808576,0.08514633833978698,0.04065147671407356,0.3013114012026063,0.09081998059982621,0.04824732554033144,0.011615176774426915,0.04439074223685883,0.004568261765029671,-0.06550327731724048,-0.027628623573735245,0.06789554057112059,0.09465330291587593,0.08140691336449801,0.016051601476598936,0.03058302771097892,0.0983520145374897,-0.008540168787954055,-0.01460094351518889,0.07855504872308024,0.16121150291135802,-0.04175521662713596
num_files,0.04005328096887183,0.10640575986147995,0.4032844997960379,0.1565207871370247,1.0,0.664976854136099,0.2548132446542564,0.3729296757131938,0.1908033141202794,0.18648323728003757,0.4403978608958763,0.27315040164171406,0.3231647294353967,0.5151529849034036,0.06813902983065782,0.46535367041361997,0.21962687055420724,0.7949601268312645,0.009106921530418083,0.056497044858267384,0.016329049912611568,0.15939842267506737,0.1769732153336683,0.7703004673954926,0.098555921223401,-0.05010227432163094,0.09586388632537346,0.008594862749922745,-0.04923097616755598,0.32448407678395197,0.05441995349343291,-0.05890958573082643
num_py_files,0.07236243629419337,0.15460904193853542,0.410214832647672,0.25574315199956255,0.664976854136099,1.0,0.28221715904263484,0.2664605301539243,0.08424104518209388,0.10937886443581789,0.21451499993556403,0.33210444437775866,0.12478857858010103,0.6992151301314113,0.04647152696720214,0.24844587872400495,0.23178713117886957,0.27615676158042574,0.05235442993832645,0.06992698565109338,-0.023806517646267403,0.1404187667235907,0.19511460989974314,0.6214291943313193,-0.019958060185981376,-0.05684389450636653,0.10840970511812213,0.027179228154743766,-0.06740454258096085,0.36059370780123756,0.06791519531504628,-0.06667732772828695
num_js_files,-0.02646584532022894,0.006818537337618974,0.09652187890368086,0.016400078131645797,0.2548132446542564,0.28221715904263484,1.0,0.140524169144506,0.1283869794664891,0.2675533900872349,0.03737419668113366,0.04201486787786622,-0.005488353372039356,0.04607680701863847,-0.007134906946186315,0.05982361104861838,-0.0016138600226660927,0.1475592262210137,-0.03264812334512887,0.02702116805392646,-0.04022133891280092,-0.024054437475711503,0.05016238071644576,0.19055299653024538,-0.0093991912112863,-0.02673035715270398,0.003903892864914644,-0.007985626908778293,-0.03638044067727131,0.02248961145274629,-0.004338201599984111,-0.023158687392445875
num_ts_files,0.02904194410956705,0.039313556238509344,0.2844202959170858,0.05544073073804965,0.3729296757131938,0.2664605301539243,0.140524169144506,1.0,0.10913778218903553,0.1656314012459252,0.13275396154216507,0.01717776697899893,0.01018603560437392,0.2448436465185104,0.06146100963363427,0.03728499419111259,0.045167520763733884,0.1973922757014976,-0.03102799097716363,0.04621266201217437,0.01741296638593833,-0.006710983064114264,0.12826731530234722,0.2971754626443919,-0.01721220943256695,-0.02338951044786,0.06951433793875203,-0.00030733384690679395,-0.046088785373589465,0.09833940674621319,-0.06376098685059843,-0.028641018783257814
num_html_files,0.010971347083256651,0.04091028947074296,0.10587145634387089,0.026909672358491794,0.1908033141202794,0.08424104518209388,0.1283869794664891,0.10913778218903553,1.0,0.21959101391452898,0.0930260043909589,-0.005909184777965416,-0.006793177653726596,0.07867188510987184,0.029886436167171213,0.02609409269085383,0.005086244955360311,0.14573933538165487,-0.0386454500849551,0.027505365884342166,0.033738048485106954,0.06486731765412287,0.06850360817927577,0.16246228630569876,0.011524053724168336,-0.008191346799239056,0.04711422157824159,-0.009926581590782498,-0.01451619488562683,0.018671522703915488,0.06710913312123531,-0.01232342334667576
num_css_files,-0.020497808069566546,0.005137803712240329,0.1404495905338654,0.003004432223585036,0.18648323728003757,0.10937886443581789,0.2675533900872349,0.1656314012459252,0.21959101391452898,1.0,0.06097179721164399,0.01728692747183252,-0.008331475961432784,0.08620369181174553,0.02620474926192042,0.06023076097749242,0.025133490989769837,0.13773548226775018,-0.03062969857056411,-0.018914864960018637,0.02672081481149136,0.0576080612448323,0.04429537392191193,0.16169148142641762,-0.015609434401498068,-0.012618358393957588,0.01708840543416457,-0.00014364708266100047,-0.036833711941556636,0.058652962102318795,0.020988328695908193,-0.020790084195443793
