,has_pyproject_toml,has_dockerfile,has_github_actions,has_tox_ini,has_conda_env_file,has_docker_compose,has_precommit_config,has_setup_py,has_requirements_txt,has_makefile
stars,0.004006637229755041,0.017913454327626012,0.04763967767904188,-0.030967271936246796,0.027224727815696907,0.05486055258600118,0.017113672018689418,-0.06854166240410015,-0.06619798064274128,0.005703973365083456
forks,-0.0027723499973702813,0.015943514938041324,0.03769217456412459,-0.02240482362140076,0.06298720628527758,0.05093906694713513,-0.002504471234929186,-0.0584519330711484,-0.028085135114499206,-0.02269665639092017
repo_size_kb,0.13610638465576508,0.10658473507179464,0.07912794011436808,-0.05657823667023951,0.08288080447489862,0.1275048628022427,0.11775792400812717,0.048707839631034706,-0.01466440495080392,0.03686089821790551
open_issues_count,0.11741296841192309,0.025726518476658678,0.11295713505624409,0.05574262635228165,0.1652255005465726,0.016838076873848817,0.09648873779022404,0.07561109745900817,0.0006233480597673595,0.0546784253845718
num_files,0.12906843464095874,0.13251293196927827,0.11651070963450658,-0.0017151427772224958,0.04204160006311999,0.11922759992688434,0.10658416606852897,0.017239785099487735,-0.0422420453882389,0.06469870866496231
num_py_files,0.1852288625592515,0.18172209790556565,0.1434156874583025,-0.004563636159023425,0.06703468424648948,0.16955359008068813,0.18387458492971331,0.07038692812745624,-0.05296296976908729,0.06549660261356528
num_js_files,-0.032521568452755334,0.019628937646724767,-0.010131227084048202,-0.01949498845058652,0.01571178307734645,0.06585920998273294,-0.022889397543137478,-0.0041245919856533735,0.006799942558495302,-0.011449354711526891
num_ts_files,0.09956688030743803,0.1260641405468687,0.08602449195527699,-0.005088239853279488,-0.03607501962266702,0.1727154047458663,0.04596141847379285,-0.035625962904452545,-0.05301236205181381,0.0192272800815138
num_html_files,0.029782822852985027,0.04088753903333578,0.025315731390075938,0.04243447496420347,-0.016612476554403722,0.07654797309876367,-0.014405922823698765,0.03235665240529038,0.06078258076715512,0.01422924535170684
num_css_files,0.04021559830630097,0.10302061042177486,0.023450142030763857,0.02502187349571475,-0.009446407828079293,0.146132822439068,0.02760033464525065,-0.004869814989656013,0.030550902802536084,-0.013443519283143903
num_json_files,0.05669948407450013,0.06312770072975418,0.04946601934499315,-0.007391819408638947,-0.0037671842020932803,0.01993492072609366,0.03260587375370597,-0.005602749795426159,-0.018461171396306358,0.0567467321810093
num_sh_files,0.019731237465016697,0.12095875260113205,-0.020472496150142874,-0.0572072955109335,0.05541475600981781,0.08103983991026284,0.08403292978826926,0.06845599656571022,0.03237505566981039,0.008738467657439146
num_yaml_files,0.05022496134588239,0.013900936361558324,0.02159873273860834,-0.0028625002518657587,0.01794336792551707,0.0007573901173481492,0.06768415286055976,-0.006301361774086418,-0.013773059005465976,0.008155703753782263
num_test_files,0.24965740476351964,0.15269388486973395,0.19116180721188614,0.02418251675031787,0.0863308891937809,0.1526088466767201,0.2361123886661603,0.09806575906244881,-0.07275381900106373,0.10631660114943946
test_file_ratio,0.374316303854719,0.017200614079434906,0.33749048789163705,0.236124022121599,0.06663946701975995,0.009540900160101113,0.27251762068176394,0.12482145200782828,-0.17220397736280188,0.19161830428695437
num_docs_files,0.015931982115418533,0.011777144519048006,0.06177703077093468,0.030536198412952735,0.018414032476088214,0.030994248825377387,0.04127777854779047,0.01087035187363396,-0.04845087799093413,0.01660362529385362
num_notebooks,0.06222327798391632,0.011523810109600718,0.047076468672151664,-0.03219385726778558,0.03615634626531287,0.059935247997677896,0.06321962835921843,-0.0035599861925311696,-0.029631502624402017,0.04876418297722318
other_extensions_count,0.04740499521908687,0.06583757266747886,0.052402262966091705,-0.0067666732633193715,0.021826159625694293,0.0505410068302077,0.015126828675507461,-0.009818175131659574,-0.01160447506395429,0.03419810515365303
has_dedicated_test_dir,0.3409449396704808,0.0546920981027582,0.3338292070744991,0.17626677891174608,0.007192938669002418,0.007735543771232218,0.2730844962585836,0.18042262976455645,-0.09665033134430959,0.23224598150837086
has_license,0.10938218685356324,0.08922578896026664,0.11475177280413643,-0.010385593025349226,-0.009312633787857044,0.05679297944968216,0.12151603642966444,0.06757969014314513,0.03627479553931246,0.053268387084682914
has_src_dir,0.19877513679271966,-0.005602089240910418,0.10523012879668629,0.027988797101389642,0.00115204633665679,0.02000462035407016,0.10639539086625938,-0.06812832690765214,-0.09972378765722367,0.015426061427102613
has_docs_dir,0.30747692127786874,0.11306166470228635,0.3226388222440002,0.1524353578014698,0.06824739068717463,0.05791931278249055,0.2877798233118974,0.18697922632240352,-0.07544351972331666,0.16976151894348895
has_scripts_dir,0.11348327446404716,0.12221059142082275,0.09824268156279879,-0.04165258000073448,0.04860784495889018,0.11564157329088456,0.12408401156660873,0.05308024479082989,-0.027626295042516416,0.09033168513655625
num_dirs,0.11006159684995105,0.12413099729475192,0.10413881118889848,-0.00801270832841767,0.05243822470352873,0.12969911556385932,0.09949548023473874,0.013158206269171566,-0.08016883197211125,0.055276415225867785
avg_files_per_dir,-0.05600672609846657,-0.031821471005315384,-0.018200138473959456,0.006264545518318479,-0.011712639807989452,-0.031000271883564304,-0.03531158658620877,-0.012693500485786737,0.04242763453570247,0.051371681350946406
avg_py_file_len,-0.03979711286635896,-0.06478013549937733,-0.03372398680645294,0.005520569384931653,0.003218185868502309,-0.04534600489076297,-0.06064801373684131,-0.0028251308851847618,0.06347653519228318,-0.02503451101519887
avg_test_file_len,0.18427094104203057,0.0011827934864577238,0.16787128179010152,0.16713715963757014,0.02472268344081128,-0.004775821578242901,0.1325802993373137,0.07332460590944842,-0.1204860111429868,0.07597862903785806
avg_nb_cell_count,0.060914361782022794,0.001406247734530178,0.04135607301913063,-0.03155049535354194,0.029238632057382453,0.004026064615731818,0.07915874366695545,0.02032038538866066,-0.01794048321965353,-0.0016882914978405303
avg_docs_file_len,-0.02145468268681405,-0.04083892652839165,-0.0728547148465978,-0.008948940545888611,-0.030373082088805015,-0.031028292347478066,-0.047697256032986926,-0.02721532209503154,-0.011065284964912086,-0.05459437004673426
num_dependencies,0.0832614945618011,0.14593601744302354,-0.004122538733215672,-0.03841409566602741,0.01269306693385657,0.14549819270511097,0.048797595910272704,-0.03192173725684475,0.03150769756217752,-0.004971876522912623
repo_age_days,0.028910579060390757,-0.12627114952293395,0.16511129034807903,0.37810993160390466,0.06629279742891113,-0.14180276800780972,0.030082241222584558,0.2488805163190151,-0.05305135322427843,0.15758803439298696
recent_activity_days,-0.06189301100307592,-0.0957280100804602,-0.021635864752977994,0.14403484227253743,-0.0237387672116949,-0.08196486599834849,-0.010444860592645107,0.06790985357795831,-0.04428784096063231,0.05908773485735388
