feature,mean_abs_shap
num_yaml_files,0.11087366847663209
test_file_ratio,0.0377953389925506
num_test_files,0.023808347046368333
has_dedicated_test_dir,0.01711826538055802
avg_test_file_len,0.015481883763886367
num_py_files,0.014111108777284314
repo_size_kb,0.011402449531168838
num_dirs,0.01042557628141774
num_docs_files,0.010295024791051387
num_files,0.01028166747789681
num_sh_files,0.009239134403219516
repo_age_days,0.00901704350120115
avg_py_file_len,0.00760213732359233
has_docs_dir,0.007485119326295751
open_issues_count,0.007185844540866782
stars,0.005882990265640332
other_extensions_count,0.004798061137051139
num_js_files,0.004676230494362366
num_dependencies,0.004534964713457709
avg_files_per_dir,0.00445773301362424
forks,0.004098096166529821
avg_docs_file_len,0.004073398490746601
num_json_files,0.0039544821652537305
has_license,0.0035769718401625636
num_html_files,0.00226742270158862
has_src_dir,0.002069246052989854
num_ts_files,0.002062736670814983
num_css_files,0.0020205735703637006
recent_activity_days,0.0017418331979272682
num_notebooks,0.0011518894393661259
avg_nb_cell_count,0.001101090743285577
has_scripts_dir,0.0009077666532644044
