feature,mean_abs_shap
has_dedicated_test_dir,0.02796979762898926
test_file_ratio,0.026544559729067965
avg_test_file_len,0.020171982837925186
num_yaml_files,0.019108881890596455
num_test_files,0.017908511624522064
forks,0.015888098522242447
num_dependencies,0.015740974939439212
open_issues_count,0.015019125927186601
avg_files_per_dir,0.014698445954239523
repo_age_days,0.013432785039345307
repo_size_kb,0.012013698204267396
num_files,0.011635122745590438
num_py_files,0.01162533742479607
avg_docs_file_len,0.009970890709098113
num_json_files,0.008970670134759173
stars,0.00861490546962201
num_docs_files,0.008051217232286474
num_dirs,0.007835555123883094
avg_nb_cell_count,0.007766095474422417
other_extensions_count,0.0075763050303952395
avg_py_file_len,0.006116356946346089
num_ts_files,0.0058919509017332635
num_sh_files,0.005614678368299107
num_html_files,0.0050578926749066805
has_docs_dir,0.00501336588509396
has_scripts_dir,0.004547517354868367
num_notebooks,0.004379507917838375
has_src_dir,0.004369023286300943
num_js_files,0.004341087396039462
num_css_files,0.004094047417389431
has_license,0.0004509384383658107
recent_activity_days,0.00014401981158643044
