feature,mean_abs_shap
num_dependencies,0.06401380567075939
num_sh_files,0.04305527076652167
num_yaml_files,0.04198884783822581
num_js_files,0.03105222490838335
num_py_files,0.027716535068851154
repo_age_days,0.01946698850535516
num_dirs,0.018274619734990855
test_file_ratio,0.017735353338655557
num_test_files,0.015661974172980722
num_ts_files,0.015222394157407986
avg_files_per_dir,0.013604272720645925
other_extensions_count,0.01209875268289642
avg_py_file_len,0.012007728548954984
num_docs_files,0.011382501097526665
open_issues_count,0.010937140757710675
stars,0.01039002536453786
num_files,0.009986322196511419
avg_docs_file_len,0.009232808395008507
repo_size_kb,0.008704988690586965
avg_test_file_len,0.008700662931265844
forks,0.008538520680297007
num_json_files,0.0073722764804025195
num_css_files,0.007348768645194437
num_html_files,0.006886911585273114
num_notebooks,0.0028094603162763985
avg_nb_cell_count,0.002737478480102373
has_docs_dir,0.002384021335526173
has_dedicated_test_dir,0.002207181933659647
has_scripts_dir,0.0021626789588894096
has_src_dir,0.0018138177168790233
has_license,0.0007867895054482796
recent_activity_days,0.0006700530488358827
