feature,mean_abs_shap
num_dependencies,0.0596206030924919
num_js_files,0.04520449115136063
num_sh_files,0.023504769674495433
num_ts_files,0.02340667197377181
repo_age_days,0.019961532605110063
num_json_files,0.016988461634890265
num_yaml_files,0.01556651338579966
stars,0.013025161916538316
num_py_files,0.012115082384241206
num_files,0.011489205000462969
forks,0.011318379328217016
repo_size_kb,0.010345978107956415
other_extensions_count,0.010234421685688418
avg_py_file_len,0.009096629620872381
num_docs_files,0.008210499383361897
open_issues_count,0.00809778672625954
num_dirs,0.007995185769851025
num_css_files,0.007989155214568463
test_file_ratio,0.007887978489625736
num_test_files,0.007721731455738283
avg_test_file_len,0.007360890249168186
avg_files_per_dir,0.00730528956219777
avg_docs_file_len,0.007264193646952976
num_html_files,0.007093127406740852
has_scripts_dir,0.005896406544589394
avg_nb_cell_count,0.003183042851329133
num_notebooks,0.0022912076378657146
has_docs_dir,0.0018250594842546056
has_dedicated_test_dir,0.00173729597863293
has_src_dir,0.0013238973090721861
has_license,0.0008169471740758253
recent_activity_days,7.149175128388121e-05
