feature,mean_abs_shap
open_issues_count,0.018846432561610754
num_notebooks,0.014524304722150036
avg_nb_cell_count,0.012039158438320265
num_dependencies,0.011313551354451593
forks,0.009034898302800796
num_docs_files,0.007004433680440309
stars,0.006565695291208239
repo_age_days,0.005961008430528491
avg_files_per_dir,0.00526902170464199
num_files,0.00511156163332896
num_html_files,0.004879472833055332
num_dirs,0.004782153800314264
avg_test_file_len,0.0047726233853456835
num_py_files,0.004766542828903793
repo_size_kb,0.004436587985967541
test_file_ratio,0.004351265727391411
num_sh_files,0.004323147803406674
num_css_files,0.0037202516940625947
num_yaml_files,0.0036764957725088474
avg_py_file_len,0.003613542138020541
num_test_files,0.003315061606387235
num_json_files,0.0031486299051461004
num_js_files,0.0031362476186073524
other_extensions_count,0.0030617949016302315
avg_docs_file_len,0.003035398738945541
num_ts_files,0.00106397125859437
has_scripts_dir,0.0010197453276088464
has_dedicated_test_dir,0.0009915351465283715
recent_activity_days,0.0008866648018795128
has_docs_dir,0.0007476365948083518
has_license,0.0005859840163027646
has_src_dir,0.00041707901392861417
