feature,mean_abs_shap
num_dependencies,0.07302197624870069
avg_test_file_len,0.038180877023336696
num_docs_files,0.032616363634641356
num_dirs,0.024055859986909758
num_files,0.02142648414692464
test_file_ratio,0.021159534125289814
other_extensions_count,0.018917219670139887
avg_py_file_len,0.01869083933556545
num_test_files,0.01544204319932828
num_py_files,0.015247073360002097
forks,0.014826769504232408
num_yaml_files,0.014492786201874332
avg_files_per_dir,0.014425303700489603
repo_age_days,0.010795537136014569
num_ts_files,0.010319278039446803
open_issues_count,0.01016201957722935
repo_size_kb,0.009107567232030022
avg_docs_file_len,0.008835519268678073
stars,0.008672472994343313
num_json_files,0.007285975739683088
num_sh_files,0.006771774724528541
num_js_files,0.006603921427329265
num_css_files,0.004827566406977934
num_html_files,0.0048008052896578324
avg_nb_cell_count,0.003711252241394242
has_dedicated_test_dir,0.0034301785207535435
has_scripts_dir,0.002467371578044931
num_notebooks,0.002137781425850955
has_src_dir,0.0013717356959279548
has_license,0.0011565428151205242
has_docs_dir,0.0010751797010957846
recent_activity_days,0.0002921379402344481
