feature,mean_abs_shap
repo_age_days,0.03277115888008347
num_py_files,0.031400391121646075
avg_files_per_dir,0.0232808876387687
avg_py_file_len,0.020445805081232546
open_issues_count,0.015426142985251376
stars,0.014178534983169594
num_json_files,0.011603663606850481
num_sh_files,0.01077986015267744
num_dirs,0.010751991994262931
num_test_files,0.01056420799528397
num_docs_files,0.009722801388519912
avg_docs_file_len,0.009231639597793457
forks,0.009202859837370429
num_files,0.009070739091850822
repo_size_kb,0.008854942383413611
avg_test_file_len,0.008834448240863607
test_file_ratio,0.008764959829618373
other_extensions_count,0.00868813780461667
has_docs_dir,0.008639945443998154
num_ts_files,0.008427030517767964
num_js_files,0.00697656243690128
num_yaml_files,0.006930026504318872
num_dependencies,0.006638654770015884
num_html_files,0.005105889320290884
avg_nb_cell_count,0.005003636270782514
num_css_files,0.004956070510051571
has_dedicated_test_dir,0.0047174374249244234
has_scripts_dir,0.00244376593698236
num_notebooks,0.0022550374192039915
has_src_dir,0.0016559460402918572
has_license,0.0012616377215477986
recent_activity_days,0.0005016512916914945
