feature,mean_abs_shap
repo_age_days,0.036971664991580964
test_file_ratio,0.023818460816219356
avg_test_file_len,0.016101306386692396
num_dependencies,0.012977901327503972
num_test_files,0.012044726941134211
num_dirs,0.009910085798764644
num_json_files,0.009739028615933811
avg_docs_file_len,0.009689324953761213
avg_files_per_dir,0.009483618183069002
repo_size_kb,0.007718490030682234
forks,0.007511432001623791
num_html_files,0.007216272400360432
num_yaml_files,0.0070861726467373615
num_py_files,0.005894476803081372
stars,0.0048363703024994625
num_files,0.004500854887086821
has_dedicated_test_dir,0.0041548232726045745
open_issues_count,0.0034481881596736936
avg_py_file_len,0.0033884582115507665
other_extensions_count,0.003266862299348859
num_docs_files,0.003070143699671203
num_sh_files,0.0029093694245965846
num_js_files,0.0023889704273358527
avg_nb_cell_count,0.0021468083449158715
num_css_files,0.0017226098883214832
recent_activity_days,0.0012478914440977717
has_license,0.0009598743946063658
num_ts_files,0.0007773153586687737
has_scripts_dir,0.0006237607855950846
has_docs_dir,0.0006042772493552307
num_notebooks,0.0006032735082830572
has_src_dir,0.00033661380871381487
