feature,mean_abs_shap
num_yaml_files,0.08169209929497685
test_file_ratio,0.05831371339073644
num_test_files,0.04973745614458993
num_py_files,0.03156347624858452
avg_test_file_len,0.02244483324177814
has_dedicated_test_dir,0.01793047351372791
num_docs_files,0.016513734204846756
other_extensions_count,0.015294759889589133
num_dirs,0.014529964870288485
avg_py_file_len,0.014172911522355437
open_issues_count,0.012858662605949863
forks,0.011979575074968538
num_dependencies,0.011887640951520197
num_json_files,0.010379271117894955
repo_age_days,0.009971869568390884
num_files,0.009865334859648463
stars,0.00953021535471564
num_sh_files,0.008888245702538398
repo_size_kb,0.008650752002186592
avg_docs_file_len,0.007606456647793051
avg_files_per_dir,0.00683905002992363
num_js_files,0.005827097165945512
num_html_files,0.005810882778910795
has_docs_dir,0.004972008499241476
num_css_files,0.0033612341869331524
avg_nb_cell_count,0.0028874551166183375
num_ts_files,0.0024756207746016307
has_src_dir,0.0020946474975519452
num_notebooks,0.0018484041828454058
has_scripts_dir,0.001758435110620966
has_license,0.0012104432088136823
recent_activity_days,0.0002910706067297261
