model,avg time,avg f1-score,avg balanced acc,avg accuracy,best variant,best f1-score,best time,candidates
gradient_boosting,13 min 13 sec,0.4769 ± 0.0332,0.3272 ± 0.0353,0.5092 ± 0.0349,manual_selection,0.4802 ± 0.0382,13 min 13 sec,144
random_forest,1 min 28 sec,0.4628 ± 0.0371,0.3029 ± 0.0291,0.5099 ± 0.0377,corr_060,0.4704 ± 0.0374,1 min 23 sec,72
decision_tree,0 min 6 sec,0.4381 ± 0.0420,0.2956 ± 0.0378,0.4694 ± 0.0397,corr_060,0.4467 ± 0.0315,0 min 5 sec,54
neural_network,7 min 49 sec,0.4055 ± 0.0297,0.2633 ± 0.0297,0.4354 ± 0.0307,corr_060,0.4085 ± 0.0346,7 min 31 sec,36
svm,0 min 20 sec,0.3871 ± 0.0274,0.2521 ± 0.0225,0.4303 ± 0.0277,dom_080,0.3907 ± 0.0260,0 min 23 sec,20
