variant,model_family,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,precision_weighted_mean,precision_weighted_std,recall_macro_mean,recall_macro_std,recall_micro_mean,recall_micro_std,recall_weighted_mean,recall_weighted_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,best_params_json,n_candidates_tested,combination_counts_json,fit_elapsed_seconds
corr_060,gradient_boosting,0.5133398564905415,0.0294756842928453,0.3260740612897735,0.0316597435210214,0.3770289148042434,0.0696339195362169,0.5133398564905415,0.0294756842928453,0.47664671429773,0.0403004061610278,0.3260740612897735,0.0316597435210214,0.5133398564905415,0.0294756842928453,0.5133398564905415,0.0294756842928453,0.3224280885477298,0.0327853736992101,0.5133398564905415,0.0294756842928453,0.4763033545224958,0.0283880394774605,"{""model__criterion"": ""friedman_mse"", ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",144,"{""000"": 193, ""001"": 165, ""010"": 60, ""011"": 116, ""100"": 54, ""101"": 464, ""110"": 36, ""111"": 377}",684.5662157939987
corr_070,gradient_boosting,0.5092069704594167,0.0403273115086763,0.3336563815399985,0.0335065021732643,0.3948669626461628,0.0439916171265487,0.5092069704594167,0.0403273115086763,0.4808480592217263,0.0342624209669173,0.3336563815399985,0.0335065021732643,0.5092069704594167,0.0403273115086763,0.5092069704594167,0.0403273115086763,0.3341082754817431,0.030410980334888,0.5092069704594167,0.0403273115086763,0.4783156956157655,0.034134384828952,"{""model__criterion"": ""friedman_mse"", ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50, ""model__subsample"": 0.8}",144,"{""000"": 193, ""001"": 165, ""010"": 60, ""011"": 116, ""100"": 54, ""101"": 464, ""110"": 36, ""111"": 377}",730.1534029470004
dom_080,gradient_boosting,0.5071941105209208,0.0300746181261739,0.3257206021419861,0.0337711566636138,0.3733256351020885,0.0657783312004494,0.5071941105209208,0.0300746181261739,0.4703568998445928,0.0320319445439838,0.3257206021419861,0.0337711566636138,0.5071941105209208,0.0300746181261739,0.5071941105209208,0.0300746181261739,0.3246191714104516,0.0398802799722129,0.5071941105209208,0.0300746181261739,0.4734659978738305,0.0287101605731303,"{""model__criterion"": ""squared_error"", ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",144,"{""000"": 193, ""001"": 165, ""010"": 60, ""011"": 116, ""100"": 54, ""101"": 464, ""110"": 36, ""111"": 377}",922.0476569429992
manual_selection,gradient_boosting,0.5099524741403411,0.0376168809284355,0.3248407079292703,0.0404196542795536,0.3596672538948467,0.0512131641431178,0.5099524741403411,0.0376168809284355,0.4761672092849228,0.0345260474053751,0.3248407079292703,0.0404196542795536,0.5099524741403411,0.0376168809284355,0.5099524741403411,0.0376168809284355,0.3236183750004006,0.0433037987146481,0.5099524741403411,0.0376168809284355,0.4802423425764097,0.0381500494806973,"{""model__criterion"": ""squared_error"", ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50, ""model__subsample"": 0.8}",144,"{""000"": 193, ""001"": 165, ""010"": 60, ""011"": 116, ""100"": 54, ""101"": 464, ""110"": 36, ""111"": 377}",793.2674534260004
original,gradient_boosting,0.5065278166060945,0.0370641855966662,0.3258066960856189,0.0372398479001988,0.3669235328667521,0.0596770239687957,0.5065278166060945,0.0370641855966662,0.4726691282599989,0.0356781755617791,0.3258066960856189,0.0372398479001988,0.5065278166060945,0.0370641855966662,0.5065278166060945,0.0370641855966662,0.3247123685492637,0.042540375503494,0.5065278166060945,0.0370641855966662,0.4759569843476863,0.0366647422442197,"{""model__criterion"": ""squared_error"", ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 150, ""model__subsample"": 0.8}",144,"{""000"": 193, ""001"": 165, ""010"": 60, ""011"": 116, ""100"": 54, ""101"": 464, ""110"": 36, ""111"": 377}",833.0345652620017
