,000,001,010,011,100,101,110,111
000,124,15,10,4,8,26,1,5
001,16,52,3,5,0,67,2,20
010,29,4,3,4,2,9,2,7
011,5,9,1,12,0,37,2,50
100,21,2,0,2,10,11,2,6
101,11,23,3,7,3,309,2,106
110,10,1,2,2,0,9,0,12
111,5,6,3,13,0,110,3,237
